Provider_ID,Measure,Rate
010034,"Foreign Object Retained After Surgery",0
010034,"Air Embolism",0
010034,"Blood Incompatibility",0
010034,"Falls and Trauma",0
010035,"Foreign Object Retained After Surgery",0
010035,"Air Embolism",0
010035,"Blood Incompatibility",0
010035,"Falls and Trauma",0.409
010036,"Foreign Object Retained After Surgery",0
010036,"Air Embolism",0
010036,"Blood Incompatibility",0
010036,"Falls and Trauma",0.741
010039,"Foreign Object Retained After Surgery",0
010039,"Air Embolism",0.048
010039,"Blood Incompatibility",0
010039,"Falls and Trauma",0.675
010040,"Foreign Object Retained After Surgery",0
010040,"Air Embolism",0
010040,"Blood Incompatibility",0
010040,"Falls and Trauma",0
010044,"Foreign Object Retained After Surgery",0
010044,"Air Embolism",0
010044,"Blood Incompatibility",0
010044,"Falls and Trauma",4.149
010045,"Foreign Object Retained After Surgery",0
010045,"Air Embolism",0
010045,"Blood Incompatibility",0
010045,"Falls and Trauma",0
010046,"Foreign Object Retained After Surgery",0
010046,"Air Embolism",0
010046,"Blood Incompatibility",0
010046,"Falls and Trauma",0
010049,"Foreign Object Retained After Surgery",0
010049,"Air Embolism",0
010049,"Blood Incompatibility",0
010049,"Falls and Trauma",0.706
010051,"Foreign Object Retained After Surgery",0
010051,"Air Embolism",0
010051,"Blood Incompatibility",0
010051,"Falls and Trauma",0
010052,"Foreign Object Retained After Surgery",0
010052,"Air Embolism",0
010052,"Blood Incompatibility",0
010052,"Falls and Trauma",0
010055,"Foreign Object Retained After Surgery",0
010055,"Air Embolism",0
010055,"Blood Incompatibility",0
010055,"Falls and Trauma",0.168
010056,"Foreign Object Retained After Surgery",0
010056,"Air Embolism",0
010056,"Blood Incompatibility",0
010056,"Falls and Trauma",0.894
010058,"Foreign Object Retained After Surgery",0
010058,"Air Embolism",0
010058,"Blood Incompatibility",0
010058,"Falls and Trauma",0
010059,"Foreign Object Retained After Surgery",0
010059,"Air Embolism",0
010059,"Blood Incompatibility",0
010059,"Falls and Trauma",0
010061,"Foreign Object Retained After Surgery",0
010061,"Air Embolism",0
010061,"Blood Incompatibility",0
010061,"Falls and Trauma",0
010062,"Foreign Object Retained After Surgery",0
010062,"Air Embolism",0
010062,"Blood Incompatibility",0
010062,"Falls and Trauma",0
010065,"Foreign Object Retained After Surgery",0
010065,"Air Embolism",0
010065,"Blood Incompatibility",0
010065,"Falls and Trauma",1.232
010073,"Foreign Object Retained After Surgery",0
010073,"Air Embolism",0
010073,"Blood Incompatibility",0
010073,"Falls and Trauma",0
010078,"Foreign Object Retained After Surgery",0
010078,"Air Embolism",0
010078,"Blood Incompatibility",0
010078,"Falls and Trauma",1.33
010079,"Foreign Object Retained After Surgery",0
010079,"Air Embolism",0
010079,"Blood Incompatibility",0
010079,"Falls and Trauma",0
010083,"Foreign Object Retained After Surgery",0
010083,"Air Embolism",0
010083,"Blood Incompatibility",0
010083,"Falls and Trauma",0.306
010085,"Foreign Object Retained After Surgery",0
010085,"Air Embolism",0
010085,"Blood Incompatibility",0
010085,"Falls and Trauma",0.238
010086,"Foreign Object Retained After Surgery",0
010086,"Air Embolism",0
010086,"Blood Incompatibility",0
010086,"Falls and Trauma",0
010087,"Foreign Object Retained After Surgery",0
010087,"Air Embolism",0
010087,"Blood Incompatibility",0
010087,"Falls and Trauma",0.301
010089,"Foreign Object Retained After Surgery",0
010089,"Air Embolism",0
010089,"Blood Incompatibility",0
010089,"Falls and Trauma",0.506
010090,"Foreign Object Retained After Surgery",0
010090,"Air Embolism",0
010090,"Blood Incompatibility",0
010090,"Falls and Trauma",0
010091,"Foreign Object Retained After Surgery",0
010091,"Air Embolism",0
010091,"Blood Incompatibility",0
010091,"Falls and Trauma",0
010092,"Foreign Object Retained After Surgery",0
010092,"Air Embolism",0
010092,"Blood Incompatibility",0
010092,"Falls and Trauma",0.115
010095,"Foreign Object Retained After Surgery",0
010095,"Air Embolism",0
010095,"Blood Incompatibility",0
010095,"Falls and Trauma",0
010097,"Foreign Object Retained After Surgery",0
010097,"Air Embolism",0
010097,"Blood Incompatibility",0
010097,"Falls and Trauma",0
010099,"Foreign Object Retained After Surgery",0
010099,"Air Embolism",0
010099,"Blood Incompatibility",0
010099,"Falls and Trauma",0
010100,"Foreign Object Retained After Surgery",0
010100,"Air Embolism",0
010100,"Blood Incompatibility",0
010100,"Falls and Trauma",0.542
010101,"Foreign Object Retained After Surgery",0
010101,"Air Embolism",0
010101,"Blood Incompatibility",0
010101,"Falls and Trauma",0
010102,"Foreign Object Retained After Surgery",0
010102,"Air Embolism",0
010102,"Blood Incompatibility",0
010102,"Falls and Trauma",0
010103,"Foreign Object Retained After Surgery",0
010103,"Air Embolism",0
010103,"Blood Incompatibility",0
010103,"Falls and Trauma",0.317
010104,"Foreign Object Retained After Surgery",0
010104,"Air Embolism",0
010104,"Blood Incompatibility",0
010104,"Falls and Trauma",0.473
010108,"Foreign Object Retained After Surgery",0
010108,"Air Embolism",0
010108,"Blood Incompatibility",0
010108,"Falls and Trauma",0
010110,"Foreign Object Retained After Surgery",0
010110,"Air Embolism",0
010110,"Blood Incompatibility",0
010110,"Falls and Trauma",0
010112,"Foreign Object Retained After Surgery",0
010112,"Air Embolism",0
010112,"Blood Incompatibility",0
010112,"Falls and Trauma",0
010113,"Foreign Object Retained After Surgery",0
010113,"Air Embolism",0
010113,"Blood Incompatibility",0
010113,"Falls and Trauma",0.363
010114,"Foreign Object Retained After Surgery",0
010114,"Air Embolism",0
010114,"Blood Incompatibility",0
010114,"Falls and Trauma",1.097
010118,"Foreign Object Retained After Surgery",0
010118,"Air Embolism",0
010118,"Blood Incompatibility",0
010118,"Falls and Trauma",2.564
010120,"Foreign Object Retained After Surgery",0
010120,"Air Embolism",0
010120,"Blood Incompatibility",0
010120,"Falls and Trauma",2.577
010125,"Foreign Object Retained After Surgery",0
010125,"Air Embolism",0
010125,"Blood Incompatibility",0
010125,"Falls and Trauma",0
010126,"Foreign Object Retained After Surgery",0
010126,"Air Embolism",0
010126,"Blood Incompatibility",0
010126,"Falls and Trauma",0
010128,"Foreign Object Retained After Surgery",0
010128,"Air Embolism",0
010128,"Blood Incompatibility",0
010128,"Falls and Trauma",0
010129,"Foreign Object Retained After Surgery",0
010129,"Air Embolism",0
010129,"Blood Incompatibility",0
010129,"Falls and Trauma",0
010130,"Foreign Object Retained After Surgery",0
010130,"Air Embolism",0
010130,"Blood Incompatibility",0
010130,"Falls and Trauma",1.034
010131,"Foreign Object Retained After Surgery",0
010131,"Air Embolism",0
010131,"Blood Incompatibility",0
010131,"Falls and Trauma",0.408
010138,"Foreign Object Retained After Surgery",0
010138,"Air Embolism",0
010138,"Blood Incompatibility",0
010138,"Falls and Trauma",0
010139,"Foreign Object Retained After Surgery",0
010139,"Air Embolism",0
010139,"Blood Incompatibility",0
010139,"Falls and Trauma",0
010144,"Foreign Object Retained After Surgery",0
010144,"Air Embolism",0
010144,"Blood Incompatibility",0
010144,"Falls and Trauma",0.32
010148,"Foreign Object Retained After Surgery",0
010148,"Air Embolism",0
010148,"Blood Incompatibility",0
010148,"Falls and Trauma",0
010149,"Foreign Object Retained After Surgery",0
010149,"Air Embolism",0
010149,"Blood Incompatibility",0
010149,"Falls and Trauma",0
010150,"Foreign Object Retained After Surgery",0
010150,"Air Embolism",0
010150,"Blood Incompatibility",0
010150,"Falls and Trauma",0
010157,"Foreign Object Retained After Surgery",0
010157,"Air Embolism",0
010157,"Blood Incompatibility",0
010157,"Falls and Trauma",0
010158,"Foreign Object Retained After Surgery",0
010158,"Air Embolism",0
010158,"Blood Incompatibility",0
010158,"Falls and Trauma",1.639
010164,"Foreign Object Retained After Surgery",0
010164,"Air Embolism",0
010164,"Blood Incompatibility",0
010164,"Falls and Trauma",0
010168,"Foreign Object Retained After Surgery",0
010168,"Air Embolism",0
010168,"Blood Incompatibility",0
010168,"Falls and Trauma",2.982
010169,"Foreign Object Retained After Surgery",0
010169,"Air Embolism",0
010169,"Blood Incompatibility",0
010169,"Falls and Trauma",0
010173,"Foreign Object Retained After Surgery",0
010173,"Air Embolism",0
010173,"Blood Incompatibility",0
010173,"Falls and Trauma",0
020001,"Foreign Object Retained After Surgery",0
020001,"Air Embolism",0
020001,"Blood Incompatibility",0
020001,"Falls and Trauma",0.398
020006,"Foreign Object Retained After Surgery",0
020006,"Air Embolism",0
020006,"Blood Incompatibility",0
020006,"Falls and Trauma",0.463
020008,"Foreign Object Retained After Surgery",0
020008,"Air Embolism",0
020008,"Blood Incompatibility",0
020008,"Falls and Trauma",0
020012,"Foreign Object Retained After Surgery",0
020012,"Air Embolism",0
020012,"Blood Incompatibility",0
020012,"Falls and Trauma",0
020017,"Foreign Object Retained After Surgery",0
020017,"Air Embolism",0
020017,"Blood Incompatibility",0
020017,"Falls and Trauma",0.511
020018,"Foreign Object Retained After Surgery",0
020018,"Air Embolism",0
020018,"Blood Incompatibility",0
020018,"Falls and Trauma",0
020024,"Foreign Object Retained After Surgery",0
020024,"Air Embolism",0
020024,"Blood Incompatibility",0
020024,"Falls and Trauma",0
020026,"Foreign Object Retained After Surgery",0
020026,"Air Embolism",0
020026,"Blood Incompatibility",0
020026,"Falls and Trauma",0
030002,"Foreign Object Retained After Surgery",0
030002,"Air Embolism",0
030002,"Blood Incompatibility",0
030002,"Falls and Trauma",0.562
030006,"Foreign Object Retained After Surgery",0.158
030006,"Air Embolism",0
030006,"Blood Incompatibility",0
030006,"Falls and Trauma",0.554
030007,"Foreign Object Retained After Surgery",0
030007,"Air Embolism",0
030007,"Blood Incompatibility",0
030007,"Falls and Trauma",0
030010,"Foreign Object Retained After Surgery",0
030010,"Air Embolism",0.319
030010,"Blood Incompatibility",0
030010,"Falls and Trauma",0.319
030011,"Foreign Object Retained After Surgery",0
030011,"Air Embolism",0
030011,"Blood Incompatibility",0
030011,"Falls and Trauma",0.726
030012,"Foreign Object Retained After Surgery",0
030012,"Air Embolism",0
030012,"Blood Incompatibility",0
030012,"Falls and Trauma",0.232
030013,"Foreign Object Retained After Surgery",0
030013,"Air Embolism",0
030013,"Blood Incompatibility",0
030013,"Falls and Trauma",0.155
030014,"Foreign Object Retained After Surgery",0
030014,"Air Embolism",0
030014,"Blood Incompatibility",0
030014,"Falls and Trauma",0.174
030016,"Foreign Object Retained After Surgery",0
030016,"Air Embolism",0
030016,"Blood Incompatibility",0
030016,"Falls and Trauma",0.446
030022,"Foreign Object Retained After Surgery",0
030022,"Air Embolism",0
030022,"Blood Incompatibility",0
030022,"Falls and Trauma",0
030023,"Foreign Object Retained After Surgery",0
030023,"Air Embolism",0
030023,"Blood Incompatibility",0
030023,"Falls and Trauma",0
030024,"Foreign Object Retained After Surgery",0.106
030024,"Air Embolism",0
030024,"Blood Incompatibility",0
030024,"Falls and Trauma",0.212
030030,"Foreign Object Retained After Surgery",0
030030,"Air Embolism",0
030030,"Blood Incompatibility",0
030030,"Falls and Trauma",0
030036,"Foreign Object Retained After Surgery",0
030036,"Air Embolism",0
030036,"Blood Incompatibility",0
030036,"Falls and Trauma",0.217
030037,"Foreign Object Retained After Surgery",0
030037,"Air Embolism",0
030037,"Blood Incompatibility",0
030037,"Falls and Trauma",0
030038,"Foreign Object Retained After Surgery",0
030038,"Air Embolism",0
030038,"Blood Incompatibility",0
030038,"Falls and Trauma",0.109
030043,"Foreign Object Retained After Surgery",0
030043,"Air Embolism",0
030043,"Blood Incompatibility",0
030043,"Falls and Trauma",0
030055,"Foreign Object Retained After Surgery",0
030055,"Air Embolism",0
030055,"Blood Incompatibility",0
030055,"Falls and Trauma",0.318
030061,"Foreign Object Retained After Surgery",0
030061,"Air Embolism",0
030061,"Blood Incompatibility",0
030061,"Falls and Trauma",0.533
030062,"Foreign Object Retained After Surgery",0
030062,"Air Embolism",0
030062,"Blood Incompatibility",0
030062,"Falls and Trauma",0
030064,"Foreign Object Retained After Surgery",0
030064,"Air Embolism",0
030064,"Blood Incompatibility",0
030064,"Falls and Trauma",0.276
030065,"Foreign Object Retained After Surgery",0
030065,"Air Embolism",0
030065,"Blood Incompatibility",0.112
030065,"Falls and Trauma",0.335
030069,"Foreign Object Retained After Surgery",0
030069,"Air Embolism",0
030069,"Blood Incompatibility",0
030069,"Falls and Trauma",0.291
030071,"Foreign Object Retained After Surgery",0
030071,"Air Embolism",0
030071,"Blood Incompatibility",0
030071,"Falls and Trauma",0
030073,"Foreign Object Retained After Surgery",0
030073,"Air Embolism",0
030073,"Blood Incompatibility",0
030073,"Falls and Trauma",0
030074,"Foreign Object Retained After Surgery",0
030074,"Air Embolism",0
030074,"Blood Incompatibility",0
030074,"Falls and Trauma",0
030078,"Foreign Object Retained After Surgery",0
030078,"Air Embolism",0
030078,"Blood Incompatibility",0
030078,"Falls and Trauma",3.322
030083,"Foreign Object Retained After Surgery",0
030083,"Air Embolism",0
030083,"Blood Incompatibility",0
030083,"Falls and Trauma",0.56
030084,"Foreign Object Retained After Surgery",0
030084,"Air Embolism",0
030084,"Blood Incompatibility",0
030084,"Falls and Trauma",0
030085,"Foreign Object Retained After Surgery",0
030085,"Air Embolism",0
030085,"Blood Incompatibility",0
030085,"Falls and Trauma",0.288
030087,"Foreign Object Retained After Surgery",0
030087,"Air Embolism",0
030087,"Blood Incompatibility",0
030087,"Falls and Trauma",0.161
030088,"Foreign Object Retained After Surgery",0
030088,"Air Embolism",0
030088,"Blood Incompatibility",0
030088,"Falls and Trauma",0.448
030089,"Foreign Object Retained After Surgery",0.147
030089,"Air Embolism",0
030089,"Blood Incompatibility",0
030089,"Falls and Trauma",0.44
030092,"Foreign Object Retained After Surgery",0
030092,"Air Embolism",0
030092,"Blood Incompatibility",0
030092,"Falls and Trauma",0.15
030093,"Foreign Object Retained After Surgery",0
030093,"Air Embolism",0
030093,"Blood Incompatibility",0
030093,"Falls and Trauma",0.825
030094,"Foreign Object Retained After Surgery",0
030094,"Air Embolism",0
030094,"Blood Incompatibility",0
030094,"Falls and Trauma",0.67
030101,"Foreign Object Retained After Surgery",0
030101,"Air Embolism",0
030101,"Blood Incompatibility",0
030101,"Falls and Trauma",0.389
030103,"Foreign Object Retained After Surgery",0
030103,"Air Embolism",0
030103,"Blood Incompatibility",0
030103,"Falls and Trauma",0.049
030105,"Foreign Object Retained After Surgery",0
030105,"Air Embolism",0
030105,"Blood Incompatibility",0
030105,"Falls and Trauma",0
030107,"Foreign Object Retained After Surgery",0
030107,"Air Embolism",0
030107,"Blood Incompatibility",0
030107,"Falls and Trauma",0
030108,"Foreign Object Retained After Surgery",0
030108,"Air Embolism",0
030108,"Blood Incompatibility",0
030108,"Falls and Trauma",0
030110,"Foreign Object Retained After Surgery",0
030110,"Air Embolism",0
030110,"Blood Incompatibility",0
030110,"Falls and Trauma",0.213
030111,"Foreign Object Retained After Surgery",0
030111,"Air Embolism",0
030111,"Blood Incompatibility",0
030111,"Falls and Trauma",0
030112,"Foreign Object Retained After Surgery",0
030112,"Air Embolism",0
030112,"Blood Incompatibility",0
030112,"Falls and Trauma",0
030113,"Foreign Object Retained After Surgery",0
030113,"Air Embolism",0
030113,"Blood Incompatibility",0
030113,"Falls and Trauma",0
030114,"Foreign Object Retained After Surgery",0
030114,"Air Embolism",0
030114,"Blood Incompatibility",0
030114,"Falls and Trauma",0.782
030115,"Foreign Object Retained After Surgery",0
030115,"Air Embolism",0
030115,"Blood Incompatibility",0
030115,"Falls and Trauma",0.801
030117,"Foreign Object Retained After Surgery",0
030117,"Air Embolism",0
030117,"Blood Incompatibility",0
030117,"Falls and Trauma",0
030119,"Foreign Object Retained After Surgery",0
030119,"Air Embolism",0
030119,"Blood Incompatibility",0
030119,"Falls and Trauma",0.269
030121,"Foreign Object Retained After Surgery",0
030121,"Air Embolism",0
030121,"Blood Incompatibility",0
030121,"Falls and Trauma",0.433
030122,"Foreign Object Retained After Surgery",0
030122,"Air Embolism",0
030122,"Blood Incompatibility",0
030122,"Falls and Trauma",0
030123,"Foreign Object Retained After Surgery",0
030123,"Air Embolism",0
030123,"Blood Incompatibility",0
030123,"Falls and Trauma",0
030130,"Foreign Object Retained After Surgery",0
030130,"Air Embolism",0
030130,"Blood Incompatibility",0
030130,"Falls and Trauma",0.646
030134,"Foreign Object Retained After Surgery",0
030134,"Air Embolism",0
030134,"Blood Incompatibility",0
030134,"Falls and Trauma",0
030136,"Foreign Object Retained After Surgery",0
030136,"Air Embolism",0
030136,"Blood Incompatibility",0
030136,"Falls and Trauma",0
030138,"Foreign Object Retained After Surgery",0
030138,"Air Embolism",0
030138,"Blood Incompatibility",0
030138,"Falls and Trauma",0
030139,"Foreign Object Retained After Surgery",0
030139,"Air Embolism",0
030139,"Blood Incompatibility",0
030139,"Falls and Trauma",0
030146,"Foreign Object Retained After Surgery",0
030146,"Air Embolism",0
030146,"Blood Incompatibility",0
030146,"Falls and Trauma",0
030147,"Foreign Object Retained After Surgery",0
030147,"Air Embolism",0
030147,"Blood Incompatibility",0
030147,"Falls and Trauma",0
030148,"Foreign Object Retained After Surgery",0
030148,"Air Embolism",0
030148,"Blood Incompatibility",0
030148,"Falls and Trauma",0.442
030152,"Foreign Object Retained After Surgery",0
030152,"Air Embolism",0
030152,"Blood Incompatibility",0
030152,"Falls and Trauma",0
030153,"Foreign Object Retained After Surgery",0
030153,"Air Embolism",0
030153,"Blood Incompatibility",0
030153,"Falls and Trauma",0
030154,"Foreign Object Retained After Surgery",0
030154,"Air Embolism",0
030154,"Blood Incompatibility",0
030154,"Falls and Trauma",0
030155,"Foreign Object Retained After Surgery",0
030155,"Air Embolism",0
030155,"Blood Incompatibility",0
030155,"Falls and Trauma",0
040001,"Foreign Object Retained After Surgery",0
040001,"Air Embolism",0
040001,"Blood Incompatibility",0
040001,"Falls and Trauma",0
040002,"Foreign Object Retained After Surgery",0
040002,"Air Embolism",0
040002,"Blood Incompatibility",0
040002,"Falls and Trauma",0
040004,"Foreign Object Retained After Surgery",0
040004,"Air Embolism",0
040004,"Blood Incompatibility",0
040004,"Falls and Trauma",0.116
040007,"Foreign Object Retained After Surgery",0.118
040007,"Air Embolism",0
040007,"Blood Incompatibility",0
040007,"Falls and Trauma",0.59
040010,"Foreign Object Retained After Surgery",0
040010,"Air Embolism",0
040010,"Blood Incompatibility",0
040010,"Falls and Trauma",0.703
040011,"Foreign Object Retained After Surgery",0
040011,"Air Embolism",0
040011,"Blood Incompatibility",0
040011,"Falls and Trauma",0
040014,"Foreign Object Retained After Surgery",0
040014,"Air Embolism",0
040014,"Blood Incompatibility",0
040014,"Falls and Trauma",0.491
040016,"Foreign Object Retained After Surgery",0.233
040016,"Air Embolism",0
040016,"Blood Incompatibility",0
040016,"Falls and Trauma",0.467
040017,"Foreign Object Retained After Surgery",0
040017,"Air Embolism",0
040017,"Blood Incompatibility",0
040017,"Falls and Trauma",0
040018,"Foreign Object Retained After Surgery",0
040018,"Air Embolism",0
040018,"Blood Incompatibility",0
040018,"Falls and Trauma",0
040019,"Foreign Object Retained After Surgery",0
040019,"Air Embolism",0
040019,"Blood Incompatibility",0
040019,"Falls and Trauma",0
040020,"Foreign Object Retained After Surgery",0
040020,"Air Embolism",0
040020,"Blood Incompatibility",0
040020,"Falls and Trauma",0.405
040022,"Foreign Object Retained After Surgery",0
040022,"Air Embolism",0
040022,"Blood Incompatibility",0
040022,"Falls and Trauma",0
040026,"Foreign Object Retained After Surgery",0
040026,"Air Embolism",0
040026,"Blood Incompatibility",0
040026,"Falls and Trauma",0.121
040027,"Foreign Object Retained After Surgery",0
040027,"Air Embolism",0
040027,"Blood Incompatibility",0
040027,"Falls and Trauma",0.329
040029,"Foreign Object Retained After Surgery",0.198
040029,"Air Embolism",0
040029,"Blood Incompatibility",0
040029,"Falls and Trauma",0
040036,"Foreign Object Retained After Surgery",0
040036,"Air Embolism",0
040036,"Blood Incompatibility",0
040036,"Falls and Trauma",1
040039,"Foreign Object Retained After Surgery",0
040039,"Air Embolism",0
040039,"Blood Incompatibility",0
040039,"Falls and Trauma",0
040041,"Foreign Object Retained After Surgery",0
040041,"Air Embolism",0
040041,"Blood Incompatibility",0
040041,"Falls and Trauma",0.474
040050,"Foreign Object Retained After Surgery",0
040050,"Air Embolism",0
040050,"Blood Incompatibility",0
040050,"Falls and Trauma",0
040051,"Foreign Object Retained After Surgery",0
040051,"Air Embolism",0
040051,"Blood Incompatibility",0
040051,"Falls and Trauma",0.762
040055,"Foreign Object Retained After Surgery",0
040055,"Air Embolism",0
040055,"Blood Incompatibility",0
040055,"Falls and Trauma",0.289
040062,"Foreign Object Retained After Surgery",0
040062,"Air Embolism",0
040062,"Blood Incompatibility",0
040062,"Falls and Trauma",0.571
040067,"Foreign Object Retained After Surgery",0
040067,"Air Embolism",0
040067,"Blood Incompatibility",0
040067,"Falls and Trauma",0
040069,"Foreign Object Retained After Surgery",0
040069,"Air Embolism",0
040069,"Blood Incompatibility",0
040069,"Falls and Trauma",0
040071,"Foreign Object Retained After Surgery",0
040071,"Air Embolism",0
040071,"Blood Incompatibility",0
040071,"Falls and Trauma",0.84
040072,"Foreign Object Retained After Surgery",0
040072,"Air Embolism",0
040072,"Blood Incompatibility",0
040072,"Falls and Trauma",0
040076,"Foreign Object Retained After Surgery",0
040076,"Air Embolism",0
040076,"Blood Incompatibility",0
040076,"Falls and Trauma",0
040078,"Foreign Object Retained After Surgery",0
040078,"Air Embolism",0
040078,"Blood Incompatibility",0
040078,"Falls and Trauma",0.729
040084,"Foreign Object Retained After Surgery",0
040084,"Air Embolism",0
040084,"Blood Incompatibility",0
040084,"Falls and Trauma",0
040088,"Foreign Object Retained After Surgery",0
040088,"Air Embolism",0
040088,"Blood Incompatibility",0
040088,"Falls and Trauma",0.589
040114,"Foreign Object Retained After Surgery",0.069
040114,"Air Embolism",0
040114,"Blood Incompatibility",0
040114,"Falls and Trauma",0.552
040118,"Foreign Object Retained After Surgery",0
040118,"Air Embolism",0
040118,"Blood Incompatibility",0
040118,"Falls and Trauma",0.262
040119,"Foreign Object Retained After Surgery",0
040119,"Air Embolism",0
040119,"Blood Incompatibility",0
040119,"Falls and Trauma",0.582
040134,"Foreign Object Retained After Surgery",0
040134,"Air Embolism",0
040134,"Blood Incompatibility",0
040134,"Falls and Trauma",0
040137,"Foreign Object Retained After Surgery",0
040137,"Air Embolism",0
040137,"Blood Incompatibility",0
040137,"Falls and Trauma",0.479
040147,"Foreign Object Retained After Surgery",0
040147,"Air Embolism",0
040147,"Blood Incompatibility",0
040147,"Falls and Trauma",6.486
040153,"Foreign Object Retained After Surgery",0
040153,"Air Embolism",0
040153,"Blood Incompatibility",0
040153,"Falls and Trauma",0
040154,"Foreign Object Retained After Surgery",0
040154,"Air Embolism",0
040154,"Blood Incompatibility",0
040154,"Falls and Trauma",0
040156,"Foreign Object Retained After Surgery",0
040156,"Air Embolism",0
040156,"Blood Incompatibility",0
040156,"Falls and Trauma",0
040161,"Foreign Object Retained After Surgery",0
040161,"Air Embolism",0
040161,"Blood Incompatibility",0
040161,"Falls and Trauma",0
040164,"Foreign Object Retained After Surgery",0
040164,"Air Embolism",0
040164,"Blood Incompatibility",0
040164,"Falls and Trauma",0
050002,"Foreign Object Retained After Surgery",0
050002,"Air Embolism",0
050002,"Blood Incompatibility",0
050002,"Falls and Trauma",0.52
050006,"Foreign Object Retained After Surgery",0
050006,"Air Embolism",0
050006,"Blood Incompatibility",0
050006,"Falls and Trauma",0.531
050007,"Foreign Object Retained After Surgery",0
050007,"Air Embolism",0
050007,"Blood Incompatibility",0
050007,"Falls and Trauma",0.134
050008,"Foreign Object Retained After Surgery",0.47
050008,"Air Embolism",0
050008,"Blood Incompatibility",0
050008,"Falls and Trauma",0.47
050009,"Foreign Object Retained After Surgery",0
050009,"Air Embolism",0
050009,"Blood Incompatibility",0
050009,"Falls and Trauma",0.223
050013,"Foreign Object Retained After Surgery",0
050013,"Air Embolism",0
050013,"Blood Incompatibility",0
050013,"Falls and Trauma",0.673
050014,"Foreign Object Retained After Surgery",0
050014,"Air Embolism",0
050014,"Blood Incompatibility",0
050014,"Falls and Trauma",0
050017,"Foreign Object Retained After Surgery",0
050017,"Air Embolism",0
050017,"Blood Incompatibility",0
050017,"Falls and Trauma",0
050022,"Foreign Object Retained After Surgery",0
050022,"Air Embolism",0
050022,"Blood Incompatibility",0
050022,"Falls and Trauma",0.132
050024,"Foreign Object Retained After Surgery",0
050024,"Air Embolism",0
050024,"Blood Incompatibility",0
050024,"Falls and Trauma",0
050025,"Foreign Object Retained After Surgery",0
050025,"Air Embolism",0
050025,"Blood Incompatibility",0
050025,"Falls and Trauma",0.483
050026,"Foreign Object Retained After Surgery",0
050026,"Air Embolism",0
050026,"Blood Incompatibility",0
050026,"Falls and Trauma",0.08
050028,"Foreign Object Retained After Surgery",0
050028,"Air Embolism",0
050028,"Blood Incompatibility",0
050028,"Falls and Trauma",0
050030,"Foreign Object Retained After Surgery",0
050030,"Air Embolism",0
050030,"Blood Incompatibility",0
050030,"Falls and Trauma",0.492
050036,"Foreign Object Retained After Surgery",0
050036,"Air Embolism",0
050036,"Blood Incompatibility",0
050036,"Falls and Trauma",0
050038,"Foreign Object Retained After Surgery",0
050038,"Air Embolism",0
050038,"Blood Incompatibility",0
050038,"Falls and Trauma",0.705
050039,"Foreign Object Retained After Surgery",0.061
050039,"Air Embolism",0
050039,"Blood Incompatibility",0
050039,"Falls and Trauma",0.122
050040,"Foreign Object Retained After Surgery",0
050040,"Air Embolism",0
050040,"Blood Incompatibility",0
050040,"Falls and Trauma",0.502
050042,"Foreign Object Retained After Surgery",0
050042,"Air Embolism",0
050042,"Blood Incompatibility",0
050042,"Falls and Trauma",0
050043,"Foreign Object Retained After Surgery",0
